spqo,present_cnt,absent_cnt
"('disease or phenotypic feature', 'has phenotype', 'n/a', 'disease or phenotypic feature')",262279,0
"('gene or gene product', 'associated with', 'causes', 'disease or phenotypic feature')",0,335067
"('gene or gene product', 'associated with', 'causes', 'gene or gene product')",0,1
"('gene or gene product', 'associated with', 'contributes to', 'disease or phenotypic feature')",0,569
"('gene or gene product', 'has phenotype', 'n/a', 'disease or phenotypic feature')",81,0
