spqo,present_cnt,absent_cnt
"('chemical entity', 'derives from', 'n/a', 'organism taxon')",2,0
"('chemical entity', 'derives from', 'n/a', 'physical entity')",3,0
"('chemical entity', 'derives from', 'n/a', 'polypeptide')",14,0
"('chemical entity', 'diagnoses', 'n/a', 'organism taxon')",1,0
"('chemical entity', 'disrupts', 'n/a', 'activity')",26,0
"('chemical entity', 'disrupts', 'n/a', 'anatomical entity')",223,0
"('chemical entity', 'disrupts', 'n/a', 'behavior')",1,0
"('chemical entity', 'disrupts', 'n/a', 'biological process')",10571,0
"('chemical entity', 'disrupts', 'n/a', 'cell')",1706,0
"('chemical entity', 'disrupts', 'n/a', 'cellular component')",321,0
"('chemical entity', 'disrupts', 'n/a', 'clinical attribute')",10,0
"('chemical entity', 'disrupts', 'n/a', 'disease or phenotypic feature')",4048,0
"('chemical entity', 'disrupts', 'n/a', 'gross anatomical structure')",613,0
"('chemical entity', 'disrupts', 'n/a', 'information content entity')",127,0
"('chemical entity', 'disrupts', 'n/a', 'molecular activity')",1986,0
"('chemical entity', 'disrupts', 'n/a', 'organism taxon')",8,0
"('chemical entity', 'disrupts', 'n/a', 'phenomenon')",285,0
"('chemical entity', 'disrupts', 'n/a', 'physiological process')",2,0
"('chemical entity', 'disrupts', 'n/a', 'procedure')",10,0
"('chemical entity', 'exacerbates condition', 'n/a', 'biological process')",5,0
"('chemical entity', 'exacerbates condition', 'n/a', 'disease or phenotypic feature')",35,0
"('chemical entity', 'has input', 'n/a', 'chemical entity')",8,0
"('chemical entity', 'has input', 'n/a', 'device')",3,0
"('chemical entity', 'has input', 'n/a', 'gene or gene product')",2,0
"('chemical entity', 'has part', 'n/a', 'anatomical entity')",6,0
"('chemical entity', 'has part', 'n/a', 'cellular component')",11,0
"('chemical entity', 'has part', 'n/a', 'chemical entity')",918,0
"('chemical entity', 'has part', 'n/a', 'disease or phenotypic feature')",3,0
"('chemical entity', 'has part', 'n/a', 'gene or gene product')",773,0
"('chemical entity', 'has part', 'n/a', 'genomic entity')",8,0
"('chemical entity', 'has part', 'n/a', 'organism taxon')",1,0
"('chemical entity', 'has part', 'n/a', 'polypeptide')",34,0
"('chemical entity', 'interacts with', 'n/a', 'cell')",923,0
"('chemical entity', 'interacts with', 'n/a', 'cellular component')",9,0
"('chemical entity', 'interacts with', 'n/a', 'chemical entity')",36958,0
"('chemical entity', 'interacts with', 'n/a', 'disease or phenotypic feature')",19,0
"('chemical entity', 'interacts with', 'n/a', 'gene or gene product')",18234,0
"('chemical entity', 'interacts with', 'n/a', 'genomic entity')",41,0
"('chemical entity', 'interacts with', 'n/a', 'information content entity')",3,0
"('chemical entity', 'interacts with', 'n/a', 'molecular activity')",6,0
"('chemical entity', 'interacts with', 'n/a', 'organism taxon')",113,0
"('chemical entity', 'interacts with', 'n/a', 'phenomenon')",16,0
"('chemical entity', 'interacts with', 'n/a', 'physical entity')",9,0
"('chemical entity', 'interacts with', 'n/a', 'polypeptide')",405,0
"('chemical entity', 'located in', 'n/a', 'agent')",15,0
"('chemical entity', 'located in', 'n/a', 'anatomical entity')",22441,0
"('chemical entity', 'located in', 'n/a', 'cell')",15177,0
"('chemical entity', 'located in', 'n/a', 'cellular component')",6160,0
"('chemical entity', 'located in', 'n/a', 'chemical entity')",382,0
"('chemical entity', 'located in', 'n/a', 'cohort')",459,0
"('chemical entity', 'located in', 'n/a', 'disease or phenotypic feature')",228,0
"('chemical entity', 'located in', 'n/a', 'gene or gene product')",1,0
"('chemical entity', 'located in', 'n/a', 'gross anatomical structure')",24473,0
"('chemical entity', 'located in', 'n/a', 'human')",121,0
"('chemical entity', 'located in', 'n/a', 'information content entity')",102,0
"('chemical entity', 'located in', 'n/a', 'organism taxon')",15803,0
"('chemical entity', 'located in', 'n/a', 'polypeptide')",1,0
"('chemical entity', 'located in', 'n/a', 'population of individual organisms')",390,0
"('chemical entity', 'located in', 'n/a', 'publication')",3,0
"('chemical entity', 'occurs in', 'n/a', 'cohort')",3,0
"('chemical entity', 'occurs in', 'n/a', 'population of individual organisms')",1,0
"('chemical entity', 'precedes', 'n/a', 'disease or phenotypic feature')",1,0
"('chemical entity', 'precedes', 'n/a', 'procedure')",57,0
"('chemical entity', 'predisposes to condition', 'n/a', 'anatomical entity')",4,0
"('chemical entity', 'predisposes to condition', 'n/a', 'clinical attribute')",2,0
"('chemical entity', 'predisposes to condition', 'n/a', 'disease or phenotypic feature')",4063,0
"('chemical entity', 'predisposes to condition', 'n/a', 'event')",1,0
"('chemical entity', 'predisposes to condition', 'n/a', 'information content entity')",5,0
"('chemical entity', 'produces', 'n/a', 'anatomical entity')",26,0
"('chemical entity', 'produces', 'n/a', 'chemical entity')",604,0
"('chemical entity', 'produces', 'n/a', 'disease or phenotypic feature')",1,0
"('chemical entity', 'produces', 'n/a', 'gene or gene product')",630,0
"('chemical entity', 'produces', 'n/a', 'genomic entity')",3,0
"('chemical entity', 'produces', 'n/a', 'polypeptide')",2,0
"('chemical entity', 'related to', 'n/a', 'anatomical entity')",5,0
"('chemical entity', 'related to', 'n/a', 'biological process')",8,0
"('chemical entity', 'related to', 'n/a', 'cell')",1,0
"('chemical entity', 'related to', 'n/a', 'clinical attribute')",22,0
"('chemical entity', 'related to', 'n/a', 'disease or phenotypic feature')",25193,0
"('chemical entity', 'related to', 'n/a', 'gene or gene product')",9,0
"('chemical entity', 'related to', 'n/a', 'gross anatomical structure')",2,0
"('chemical entity', 'related to', 'n/a', 'information content entity')",61,0
"('chemical entity', 'related to', 'n/a', 'procedure')",3,0
"('chemical entity', 'treats or applied or studied to treat', 'n/a', 'agent')",29,0
"('chemical entity', 'treats or applied or studied to treat', 'n/a', 'anatomical entity')",20,0
"('chemical entity', 'treats or applied or studied to treat', 'n/a', 'biological entity')",14,0
"('chemical entity', 'treats or applied or studied to treat', 'n/a', 'biological process')",2,0
"('chemical entity', 'treats or applied or studied to treat', 'n/a', 'cell')",2236,0
"('chemical entity', 'treats or applied or studied to treat', 'n/a', 'cellular component')",16,0
"('chemical entity', 'treats or applied or studied to treat', 'n/a', 'clinical attribute')",21,0
"('chemical entity', 'treats or applied or studied to treat', 'n/a', 'cohort')",1736,0
"('chemical entity', 'treats or applied or studied to treat', 'n/a', 'disease or phenotypic feature')",53972,0
"('chemical entity', 'treats or applied or studied to treat', 'n/a', 'event')",1,0
"('chemical entity', 'treats or applied or studied to treat', 'n/a', 'gross anatomical structure')",159,0
"('chemical entity', 'treats or applied or studied to treat', 'n/a', 'human')",47,0
"('chemical entity', 'treats or applied or studied to treat', 'n/a', 'information content entity')",76,0
"('chemical entity', 'treats or applied or studied to treat', 'n/a', 'organism taxon')",465,0
"('chemical entity', 'treats or applied or studied to treat', 'n/a', 'population of individual organisms')",913,0
"('chemical entity', 'treats or applied or studied to treat', 'n/a', 'procedure')",6,0
"('clinical attribute', 'affects', 'n/a', 'biological process')",24,0
"('clinical attribute', 'affects', 'n/a', 'clinical attribute')",1,0
"('clinical attribute', 'affects', 'n/a', 'cohort')",8,0
"('clinical attribute', 'affects', 'n/a', 'disease or phenotypic feature')",52,0
"('clinical attribute', 'affects', 'n/a', 'information content entity')",4,0
"('clinical attribute', 'affects', 'n/a', 'phenomenon')",4,0
"('clinical attribute', 'affects', 'n/a', 'population of individual organisms')",5,0
"('clinical attribute', 'causes', 'n/a', 'biological process')",1,0
"('clinical attribute', 'causes', 'n/a', 'disease or phenotypic feature')",19,0
"('clinical attribute', 'coexists with', 'n/a', 'activity')",1,0
"('clinical attribute', 'coexists with', 'n/a', 'behavior')",2,0
"('clinical attribute', 'coexists with', 'n/a', 'biological process')",46,0
"('clinical attribute', 'coexists with', 'n/a', 'clinical attribute')",11,0
"('clinical attribute', 'coexists with', 'n/a', 'disease or phenotypic feature')",202,0
"('clinical attribute', 'coexists with', 'n/a', 'information content entity')",1,0
"('clinical attribute', 'coexists with', 'n/a', 'procedure')",5,0
"('clinical attribute', 'diagnoses', 'n/a', 'biological entity')",1,0
"('clinical attribute', 'diagnoses', 'n/a', 'biological process')",1,0
"('clinical attribute', 'diagnoses', 'n/a', 'disease or phenotypic feature')",67,0
"('clinical attribute', 'disrupts', 'n/a', 'biological process')",1,0
"('clinical attribute', 'disrupts', 'n/a', 'cell')",3,0
"('clinical attribute', 'has input', 'n/a', 'device')",2,0
"('clinical attribute', 'has part', 'n/a', 'gene or gene product')",7,0
"('clinical attribute', 'interacts with', 'n/a', 'organism taxon')",1,0
"('clinical attribute', 'located in', 'n/a', 'anatomical entity')",68,0
"('clinical attribute', 'located in', 'n/a', 'gross anatomical structure')",143,0
"('clinical attribute', 'located in', 'n/a', 'publication')",1,0
"('clinical attribute', 'manifestation of', 'n/a', 'biological process')",1,0
"('clinical attribute', 'manifestation of', 'n/a', 'disease or phenotypic feature')",2,0
"('clinical attribute', 'occurs in', 'n/a', 'anatomical entity')",2,0
"('clinical attribute', 'occurs in', 'n/a', 'biological entity')",1,0
"('clinical attribute', 'occurs in', 'n/a', 'cohort')",38,0
"('clinical attribute', 'occurs in', 'n/a', 'disease or phenotypic feature')",7,0
"('clinical attribute', 'occurs in', 'n/a', 'gross anatomical structure')",7,0
"('clinical attribute', 'occurs in', 'n/a', 'organism taxon')",1,0
"('clinical attribute', 'occurs in', 'n/a', 'population of individual organisms')",31,0
"('clinical attribute', 'precedes', 'n/a', 'biological process')",1,0
"('clinical attribute', 'predisposes to condition', 'n/a', 'clinical attribute')",1,0
"('clinical attribute', 'predisposes to condition', 'n/a', 'disease or phenotypic feature')",80,0
"('clinical attribute', 'produces', 'n/a', 'anatomical entity')",1,0
"('clinical attribute', 'produces', 'n/a', 'chemical entity')",1,0
"('clinical attribute', 'related to', 'n/a', 'biological process')",2,0
"('clinical attribute', 'related to', 'n/a', 'disease or phenotypic feature')",117,0
"('clinical attribute', 'treats or applied or studied to treat', 'n/a', 'cohort')",1,0
"('cohort', 'diagnoses', 'n/a', 'disease or phenotypic feature')",1,0
"('cohort', 'has input', 'n/a', 'chemical entity')",2,0
"('cohort', 'has input', 'n/a', 'device')",56,0
"('cohort', 'has input', 'n/a', 'physical entity')",4,0
"('cohort', 'has part', 'n/a', 'anatomical entity')",262,0
"('cohort', 'has part', 'n/a', 'cell')",89,0
"('cohort', 'has part', 'n/a', 'cellular component')",27,0
"('cohort', 'has part', 'n/a', 'chemical entity')",96,0
"('cohort', 'has part', 'n/a', 'disease or phenotypic feature')",381,0
"('cohort', 'has part', 'n/a', 'gene or gene product')",272,0
"('cohort', 'has part', 'n/a', 'genomic entity')",4,0
"('cohort', 'has part', 'n/a', 'gross anatomical structure')",389,0
"('cohort', 'has part', 'n/a', 'information content entity')",5,0
"('cohort', 'has part', 'n/a', 'organism taxon')",1,0
"('cohort', 'has part', 'n/a', 'polypeptide')",1,0
"('cohort', 'interacts with', 'n/a', 'agent')",2,0
"('cohort', 'interacts with', 'n/a', 'cohort')",43,0
"('cohort', 'interacts with', 'n/a', 'population of individual organisms')",12,0
"('cohort', 'occurs in', 'n/a', 'population of individual organisms')",1,0
"('cohort', 'predisposes to condition', 'n/a', 'disease or phenotypic feature')",1,0
"('device', 'causes', 'n/a', 'disease or phenotypic feature')",717,0
"('device', 'causes', 'n/a', 'information content entity')",3,0
"('device', 'close match', 'n/a', 'chemical entity')",1,0
"('device', 'close match', 'n/a', 'device')",1,0
"('device', 'close match', 'n/a', 'procedure')",1,0
"('device', 'diagnoses', 'n/a', 'disease or phenotypic feature')",3,0
"('device', 'diagnoses', 'n/a', 'organism taxon')",82,0
"('device', 'has input', 'n/a', 'agent')",4,0
"('device', 'has input', 'n/a', 'chemical entity')",1702,0
"('device', 'has input', 'n/a', 'device')",1620,0
"('device', 'has input', 'n/a', 'gene or gene product')",162,0
"('device', 'has input', 'n/a', 'physical entity')",332,0
"('device', 'has input', 'n/a', 'procedure')",15,0
"('device', 'has input', 'n/a', 'publication')",3,0
"('device', 'has part', 'n/a', 'cell')",1,0
"('device', 'has part', 'n/a', 'chemical entity')",1,0
"('device', 'located in', 'n/a', 'gross anatomical structure')",3,0
"('device', 'predisposes to condition', 'n/a', 'disease or phenotypic feature')",1,0
"('device', 'treats or applied or studied to treat', 'n/a', 'agent')",3,0
"('device', 'treats or applied or studied to treat', 'n/a', 'anatomical entity')",7,0
"('device', 'treats or applied or studied to treat', 'n/a', 'cohort')",271,0
"('device', 'treats or applied or studied to treat', 'n/a', 'disease or phenotypic feature')",4968,0
"('device', 'treats or applied or studied to treat', 'n/a', 'gross anatomical structure')",65,0
"('device', 'treats or applied or studied to treat', 'n/a', 'human')",1,0
"('device', 'treats or applied or studied to treat', 'n/a', 'information content entity')",5,0
"('device', 'treats or applied or studied to treat', 'n/a', 'population of individual organisms')",98,0
"('disease or phenotypic feature', 'affects', 'n/a', 'activity')",75,0
"('disease or phenotypic feature', 'affects', 'n/a', 'agent')",2,0
"('disease or phenotypic feature', 'affects', 'n/a', 'anatomical entity')",370,0
"('disease or phenotypic feature', 'affects', 'n/a', 'behavior')",477,0
"('disease or phenotypic feature', 'affects', 'n/a', 'biological entity')",33,0
"('disease or phenotypic feature', 'affects', 'n/a', 'biological process')",8251,0
"('disease or phenotypic feature', 'affects', 'n/a', 'cell')",55,0
"('disease or phenotypic feature', 'affects', 'n/a', 'cellular component')",26,0
"('disease or phenotypic feature', 'affects', 'n/a', 'chemical entity')",349,0
"('disease or phenotypic feature', 'affects', 'n/a', 'clinical attribute')",81,0
"('disease or phenotypic feature', 'affects', 'n/a', 'cohort')",1094,0
"('disease or phenotypic feature', 'affects', 'n/a', 'disease or phenotypic feature')",12231,0
"('disease or phenotypic feature', 'affects', 'n/a', 'gene or gene product')",264,0
"('disease or phenotypic feature', 'affects', 'n/a', 'genomic entity')",2,0
"('disease or phenotypic feature', 'affects', 'n/a', 'gross anatomical structure')",1466,0
"('disease or phenotypic feature', 'affects', 'n/a', 'human')",15,0
"('disease or phenotypic feature', 'affects', 'n/a', 'information content entity')",226,0
"('disease or phenotypic feature', 'affects', 'n/a', 'molecular activity')",216,0
"('disease or phenotypic feature', 'affects', 'n/a', 'organism taxon')",651,0
"('disease or phenotypic feature', 'affects', 'n/a', 'phenomenon')",445,0
"('disease or phenotypic feature', 'affects', 'n/a', 'physiological process')",1,0
"('disease or phenotypic feature', 'affects', 'n/a', 'polypeptide')",1,0
"('disease or phenotypic feature', 'affects', 'n/a', 'population of individual organisms')",771,0
"('disease or phenotypic feature', 'affects', 'n/a', 'procedure')",16,0
"('disease or phenotypic feature', 'causes', 'n/a', 'activity')",25,0
"('disease or phenotypic feature', 'causes', 'n/a', 'anatomical entity')",22,0
"('disease or phenotypic feature', 'causes', 'n/a', 'biological process')",1949,0
"('disease or phenotypic feature', 'causes', 'n/a', 'clinical attribute')",5,0
"('disease or phenotypic feature', 'causes', 'n/a', 'disease or phenotypic feature')",26894,0
"('disease or phenotypic feature', 'causes', 'n/a', 'gene or gene product')",1,0
"('disease or phenotypic feature', 'causes', 'n/a', 'gross anatomical structure')",2,0
"('disease or phenotypic feature', 'causes', 'n/a', 'information content entity')",29,0
"('disease or phenotypic feature', 'causes', 'n/a', 'molecular activity')",1,0
"('disease or phenotypic feature', 'causes', 'n/a', 'phenomenon')",10,0
"('disease or phenotypic feature', 'causes', 'n/a', 'procedure')",10,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'activity')",22,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'anatomical entity')",19,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'behavior')",34,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'biological entity')",136,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'biological process')",331,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'cellular component')",2,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'chemical entity')",558,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'clinical attribute')",145,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'cohort')",15,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'disease or phenotypic feature')",80902,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'event')",14,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'gene or gene product')",170,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'gross anatomical structure')",5,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'information content entity')",329,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'molecular activity')",46,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'organism taxon')",529,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'phenomenon')",17,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'physical entity')",2,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'polypeptide')",2,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'population of individual organisms')",86,0
"('disease or phenotypic feature', 'coexists with', 'n/a', 'procedure')",100,0
"('disease or phenotypic feature', 'derives from', 'n/a', 'chemical entity')",4,0
"('disease or phenotypic feature', 'derives from', 'n/a', 'gene or gene product')",6,0
"('disease or phenotypic feature', 'diagnoses', 'n/a', 'anatomical entity')",1,0
"('disease or phenotypic feature', 'diagnoses', 'n/a', 'clinical attribute')",2,0
"('disease or phenotypic feature', 'diagnoses', 'n/a', 'disease or phenotypic feature')",312,0
"('disease or phenotypic feature', 'diagnoses', 'n/a', 'organism taxon')",1,0
"('disease or phenotypic feature', 'disrupts', 'n/a', 'activity')",6,0
"('disease or phenotypic feature', 'disrupts', 'n/a', 'anatomical entity')",22,0
"('disease or phenotypic feature', 'disrupts', 'n/a', 'biological process')",509,0
"('disease or phenotypic feature', 'disrupts', 'n/a', 'cell')",337,0
"('disease or phenotypic feature', 'disrupts', 'n/a', 'cellular component')",14,0
"('disease or phenotypic feature', 'disrupts', 'n/a', 'clinical attribute')",1,0
"('disease or phenotypic feature', 'disrupts', 'n/a', 'disease or phenotypic feature')",41,0
"('disease or phenotypic feature', 'disrupts', 'n/a', 'gross anatomical structure')",57,0
"('disease or phenotypic feature', 'disrupts', 'n/a', 'information content entity')",11,0
"('disease or phenotypic feature', 'disrupts', 'n/a', 'molecular activity')",24,0
"('disease or phenotypic feature', 'disrupts', 'n/a', 'phenomenon')",15,0
"('disease or phenotypic feature', 'disrupts', 'n/a', 'procedure')",1,0
"('disease or phenotypic feature', 'exacerbates condition', 'n/a', 'disease or phenotypic feature')",1336,0
"('disease or phenotypic feature', 'has input', 'n/a', 'chemical entity')",31,0
"('disease or phenotypic feature', 'has input', 'n/a', 'device')",10,0
"('disease or phenotypic feature', 'has input', 'n/a', 'gene or gene product')",2,0
"('disease or phenotypic feature', 'has input', 'n/a', 'physical entity')",1,0
"('disease or phenotypic feature', 'has part', 'n/a', 'anatomical entity')",647,0
"('disease or phenotypic feature', 'has part', 'n/a', 'cell')",33,0
"('disease or phenotypic feature', 'has part', 'n/a', 'cellular component')",253,0
"('disease or phenotypic feature', 'has part', 'n/a', 'chemical entity')",111,0
"('disease or phenotypic feature', 'has part', 'n/a', 'disease or phenotypic feature')",283,0
"('disease or phenotypic feature', 'has part', 'n/a', 'gene or gene product')",1521,0
"('disease or phenotypic feature', 'has part', 'n/a', 'genomic entity')",24,0
"('disease or phenotypic feature', 'has part', 'n/a', 'gross anatomical structure')",620,0
"('disease or phenotypic feature', 'has part', 'n/a', 'information content entity')",5,0
"('disease or phenotypic feature', 'has part', 'n/a', 'polypeptide')",3,0
"('disease or phenotypic feature', 'interacts with', 'n/a', 'cell')",4,0
"('disease or phenotypic feature', 'interacts with', 'n/a', 'chemical entity')",26,0
"('disease or phenotypic feature', 'interacts with', 'n/a', 'disease or phenotypic feature')",2,0
"('disease or phenotypic feature', 'interacts with', 'n/a', 'gene or gene product')",7,0
"('disease or phenotypic feature', 'interacts with', 'n/a', 'organism taxon')",321,0
"('disease or phenotypic feature', 'located in', 'n/a', 'agent')",3,0
"('disease or phenotypic feature', 'located in', 'n/a', 'anatomical entity')",37550,0
"('disease or phenotypic feature', 'located in', 'n/a', 'cell')",2770,0
"('disease or phenotypic feature', 'located in', 'n/a', 'cellular component')",696,0
"('disease or phenotypic feature', 'located in', 'n/a', 'chemical entity')",179,0
"('disease or phenotypic feature', 'located in', 'n/a', 'clinical attribute')",8,0
"('disease or phenotypic feature', 'located in', 'n/a', 'cohort')",331,0
"('disease or phenotypic feature', 'located in', 'n/a', 'device')",2,0
"('disease or phenotypic feature', 'located in', 'n/a', 'disease or phenotypic feature')",342,0
"('disease or phenotypic feature', 'located in', 'n/a', 'gene or gene product')",12,0
"('disease or phenotypic feature', 'located in', 'n/a', 'gross anatomical structure')",68724,0
"('disease or phenotypic feature', 'located in', 'n/a', 'information content entity')",489,0
"('disease or phenotypic feature', 'located in', 'n/a', 'organism taxon')",45,0
"('disease or phenotypic feature', 'located in', 'n/a', 'physical entity')",6,0
"('disease or phenotypic feature', 'located in', 'n/a', 'population of individual organisms')",66,0
"('disease or phenotypic feature', 'located in', 'n/a', 'publication')",215,0
"('disease or phenotypic feature', 'manifestation of', 'n/a', 'activity')",3,0
"('disease or phenotypic feature', 'manifestation of', 'n/a', 'biological entity')",1,0
"('disease or phenotypic feature', 'manifestation of', 'n/a', 'biological process')",612,0
"('disease or phenotypic feature', 'manifestation of', 'n/a', 'disease or phenotypic feature')",1779,0
"('disease or phenotypic feature', 'manifestation of', 'n/a', 'gross anatomical structure')",3,0
"('disease or phenotypic feature', 'manifestation of', 'n/a', 'information content entity')",13,0
"('disease or phenotypic feature', 'manifestation of', 'n/a', 'molecular activity')",2,0
"('disease or phenotypic feature', 'manifestation of', 'n/a', 'phenomenon')",6,0
"('disease or phenotypic feature', 'occurs in', 'n/a', 'agent')",117,0
"('disease or phenotypic feature', 'occurs in', 'n/a', 'anatomical entity')",13,0
"('disease or phenotypic feature', 'occurs in', 'n/a', 'behavior')",1,0
"('disease or phenotypic feature', 'occurs in', 'n/a', 'biological entity')",1153,0
"('disease or phenotypic feature', 'occurs in', 'n/a', 'cell')",4,0
"('disease or phenotypic feature', 'occurs in', 'n/a', 'cellular component')",1,0
"('disease or phenotypic feature', 'occurs in', 'n/a', 'chemical entity')",46,0
"('disease or phenotypic feature', 'occurs in', 'n/a', 'cohort')",12348,0
"('disease or phenotypic feature', 'occurs in', 'n/a', 'disease or phenotypic feature')",973,0
"('disease or phenotypic feature', 'occurs in', 'n/a', 'gene or gene product')",952,0
"('disease or phenotypic feature', 'occurs in', 'n/a', 'genomic entity')",8,0
"('disease or phenotypic feature', 'occurs in', 'n/a', 'gross anatomical structure')",2010,0
"('disease or phenotypic feature', 'occurs in', 'n/a', 'human')",113,0
"('disease or phenotypic feature', 'occurs in', 'n/a', 'information content entity')",77,0
"('disease or phenotypic feature', 'occurs in', 'n/a', 'organism taxon')",3524,0
"('disease or phenotypic feature', 'occurs in', 'n/a', 'population of individual organisms')",7598,0
"('disease or phenotypic feature', 'precedes', 'n/a', 'activity')",2,0
"('disease or phenotypic feature', 'precedes', 'n/a', 'behavior')",2,0
"('disease or phenotypic feature', 'precedes', 'n/a', 'biological entity')",9,0
"('disease or phenotypic feature', 'precedes', 'n/a', 'biological process')",331,0
"('disease or phenotypic feature', 'precedes', 'n/a', 'clinical attribute')",1,0
"('disease or phenotypic feature', 'precedes', 'n/a', 'disease or phenotypic feature')",3727,0
"('disease or phenotypic feature', 'precedes', 'n/a', 'gross anatomical structure')",1,0
"('disease or phenotypic feature', 'precedes', 'n/a', 'information content entity')",7,0
"('disease or phenotypic feature', 'precedes', 'n/a', 'molecular activity')",38,0
"('disease or phenotypic feature', 'precedes', 'n/a', 'phenomenon')",2,0
"('disease or phenotypic feature', 'precedes', 'n/a', 'procedure')",21,0
"('disease or phenotypic feature', 'predisposes to condition', 'n/a', 'anatomical entity')",10,0
"('disease or phenotypic feature', 'predisposes to condition', 'n/a', 'behavior')",3,0
"('disease or phenotypic feature', 'predisposes to condition', 'n/a', 'biological process')",40,0
"('disease or phenotypic feature', 'predisposes to condition', 'n/a', 'clinical attribute')",8,0
"('disease or phenotypic feature', 'predisposes to condition', 'n/a', 'disease or phenotypic feature')",10724,0
"('disease or phenotypic feature', 'predisposes to condition', 'n/a', 'information content entity')",32,0
"('disease or phenotypic feature', 'predisposes to condition', 'n/a', 'procedure')",3,0
"('disease or phenotypic feature', 'produces', 'n/a', 'anatomical entity')",48,0
"('disease or phenotypic feature', 'produces', 'n/a', 'cellular component')",1,0
"('disease or phenotypic feature', 'produces', 'n/a', 'chemical entity')",482,0
"('disease or phenotypic feature', 'produces', 'n/a', 'gene or gene product')",1164,0
"('disease or phenotypic feature', 'produces', 'n/a', 'genomic entity')",2,0
"('disease or phenotypic feature', 'produces', 'n/a', 'gross anatomical structure')",14,0
"('disease or phenotypic feature', 'produces', 'n/a', 'polypeptide')",3,0
"('disease or phenotypic feature', 'related to', 'n/a', 'activity')",14,0
"('disease or phenotypic feature', 'related to', 'n/a', 'anatomical entity')",3,0
"('disease or phenotypic feature', 'related to', 'n/a', 'biological process')",1365,0
"('disease or phenotypic feature', 'related to', 'n/a', 'chemical entity')",288,0
"('disease or phenotypic feature', 'related to', 'n/a', 'clinical attribute')",15,0
"('disease or phenotypic feature', 'related to', 'n/a', 'disease or phenotypic feature')",8577,0
"('disease or phenotypic feature', 'related to', 'n/a', 'gene or gene product')",2238,0
"('disease or phenotypic feature', 'related to', 'n/a', 'genomic entity')",36,0
"('disease or phenotypic feature', 'related to', 'n/a', 'gross anatomical structure')",1,0
"('disease or phenotypic feature', 'related to', 'n/a', 'information content entity')",2,0
"('disease or phenotypic feature', 'related to', 'n/a', 'molecular activity')",570,0
"('disease or phenotypic feature', 'related to', 'n/a', 'organism taxon')",737,0
"('disease or phenotypic feature', 'related to', 'n/a', 'phenomenon')",1,0
"('disease or phenotypic feature', 'related to', 'n/a', 'procedure')",2,0
"('disease or phenotypic feature', 'treats or applied or studied to treat', 'n/a', 'cell')",1,0
"('disease or phenotypic feature', 'treats or applied or studied to treat', 'n/a', 'cohort')",7,0
"('disease or phenotypic feature', 'treats or applied or studied to treat', 'n/a', 'disease or phenotypic feature')",90,0
"('disease or phenotypic feature', 'treats or applied or studied to treat', 'n/a', 'gross anatomical structure')",2,0
"('disease or phenotypic feature', 'treats or applied or studied to treat', 'n/a', 'population of individual organisms')",2,0
"('event', 'coexists with', 'n/a', 'disease or phenotypic feature')",1,0
"('event', 'occurs in', 'n/a', 'cohort')",4,0
"('event', 'occurs in', 'n/a', 'gross anatomical structure')",1,0
"('event', 'occurs in', 'n/a', 'population of individual organisms')",4,0
"('gene or gene product', 'affects', 'causes', 'chemical entity')",1457,0
"('gene or gene product', 'affects', 'causes', 'gene or gene product')",3800,0
"('gene or gene product', 'affects', 'n/a', 'activity')",233,0
"('gene or gene product', 'affects', 'n/a', 'anatomical entity')",2511,0
"('gene or gene product', 'affects', 'n/a', 'behavior')",22,0
"('gene or gene product', 'affects', 'n/a', 'biological entity')",82,0
"('gene or gene product', 'affects', 'n/a', 'biological process')",46820,0
"('gene or gene product', 'affects', 'n/a', 'cell')",9550,0
"('gene or gene product', 'affects', 'n/a', 'cellular component')",2766,0
"('gene or gene product', 'affects', 'n/a', 'chemical entity')",11713,0
"('gene or gene product', 'affects', 'n/a', 'clinical attribute')",90,0
"('gene or gene product', 'affects', 'n/a', 'disease or phenotypic feature')",18093,0
"('gene or gene product', 'affects', 'n/a', 'gene or gene product')",34187,0
"('gene or gene product', 'affects', 'n/a', 'genomic entity')",141,0
"('gene or gene product', 'affects', 'n/a', 'gross anatomical structure')",7048,0
"('gene or gene product', 'affects', 'n/a', 'information content entity')",708,0
"('gene or gene product', 'affects', 'n/a', 'molecular activity')",7733,0
"('gene or gene product', 'affects', 'n/a', 'organism taxon')",159,0
