spqo,present_cnt,absent_cnt
"('anatomical entity', 'has part', 'n/a', 'organism taxon')",8,0
"('anatomical entity', 'has part', 'n/a', 'polypeptide')",59,0
"('anatomical entity', 'has part', 'n/a', 'procedure')",1,0
"('anatomical entity', 'has part', 'n/a', 'publication')",101,0
"('anatomical entity', 'located in', 'n/a', 'agent')",3,0
"('anatomical entity', 'located in', 'n/a', 'anatomical entity')",1832,0
"('anatomical entity', 'located in', 'n/a', 'cell')",149,0
"('anatomical entity', 'located in', 'n/a', 'cellular component')",144,0
"('anatomical entity', 'located in', 'n/a', 'clinical attribute')",4,0
"('anatomical entity', 'located in', 'n/a', 'cohort')",254,0
"('anatomical entity', 'located in', 'n/a', 'disease or phenotypic feature')",30,0
"('anatomical entity', 'located in', 'n/a', 'gross anatomical structure')",3054,0
"('anatomical entity', 'located in', 'n/a', 'human')",1,0
"('anatomical entity', 'located in', 'n/a', 'information content entity')",49,0
"('anatomical entity', 'located in', 'n/a', 'organism taxon')",7,0
"('anatomical entity', 'located in', 'n/a', 'population of individual organisms')",174,0
"('anatomical entity', 'located in', 'n/a', 'publication')",39,0
"('anatomical entity', 'occurs in', 'n/a', 'biological entity')",1,0
"('anatomical entity', 'occurs in', 'n/a', 'cohort')",12,0
"('anatomical entity', 'occurs in', 'n/a', 'disease or phenotypic feature')",2,0
"('anatomical entity', 'occurs in', 'n/a', 'gross anatomical structure')",4,0
"('anatomical entity', 'occurs in', 'n/a', 'population of individual organisms')",7,0
"('anatomical entity', 'predisposes to condition', 'n/a', 'disease or phenotypic feature')",4,0
"('anatomical entity', 'produces', 'n/a', 'anatomical entity')",26,0
"('anatomical entity', 'produces', 'n/a', 'chemical entity')",190,0
"('anatomical entity', 'produces', 'n/a', 'disease or phenotypic feature')",1,0
"('anatomical entity', 'produces', 'n/a', 'gene or gene product')",329,0
"('anatomical entity', 'produces', 'n/a', 'polypeptide')",2,0
"('anatomical entity', 'related to', 'n/a', 'activity')",1,0
"('anatomical entity', 'related to', 'n/a', 'anatomical entity')",3,0
