spqo,present_cnt,absent_cnt
"('chemical entity', 'affects', 'causes', 'gene or gene product')",207888,22
"('chemical entity', 'affects', 'n/a', 'gene or gene product')",41705,1
"('chemical entity', 'directly physically interacts with', 'n/a', 'gene or gene product')",14889,23
"('chemical entity', 'has metabolite', 'n/a', 'chemical entity')",2975,0
"('chemical entity', 'interacts with', 'n/a', 'gene or gene product')",27,0
"('gene or gene product', 'affects', 'causes', 'chemical entity')",8,0
"('gene or gene product', 'has substrate', 'n/a', 'chemical entity')",2093,0
